date,tavg,tsun,rain_days,day_without_rain,snow_days,days_without_snow,city,lat,lon
2021-11-01,5.989999999999999,72.63333333333334,5,25,0,30,berlin,52.518611,13.408333
2021-12-01,1.9225806451612903,64.74193548387096,7,24,0,31,berlin,52.518611,13.408333
2017-01-01,0.7967741935483871,152.32258064516128,8,23,4,27,koeln,50.936389,6.952778
2017-02-01,6.3,133.5,9,19,1,27,koeln,50.936389,6.952778
2017-03-01,10.03225806451613,291.2903225806452,7,24,0,31,koeln,50.936389,6.952778
2017-04-01,9.336666666666668,328.6,1,29,0,30,koeln,50.936389,6.952778
2017-05-01,16.561290322580643,440.06451612903226,8,23,0,31,koeln,50.936389,6.952778
2017-06-01,20.346666666666668,415.93333333333334,6,24,0,30,koeln,50.936389,6.952778
2017-07-01,19.9741935483871,353.9032258064516,11,20,0,31,koeln,50.936389,6.952778
2017-08-01,19.003225806451614,313.80645161290323,9,22,0,31,koeln,50.936389,6.952778
2017-09-01,14.726666666666667,244.13333333333333,10,20,0,30,koeln,50.936389,6.952778
2017-10-01,13.480645161290322,165.58064516129033,5,26,0,31,koeln,50.936389,6.952778
2017-11-01,7.296666666666667,79.26666666666667,8,22,0,30,koeln,50.936389,6.952778
2017-12-01,5.158064516129032,17.838709677419356,13,18,2,29,koeln,50.936389,6.952778
2018-01-01,6.458064516129032,49.67741935483871,12,19,1,30,koeln,50.936389,6.952778
2018-02-01,0.6857142857142857,292.75,3,25,4,24,koeln,50.936389,6.952778
2018-03-01,5.66774193548387,204.19354838709677,10,21,3,28,koeln,50.936389,6.952778
2018-04-01,14.07,352.56666666666666,7,23,0,30,koeln,50.936389,6.952778
2018-05-01,17.9,528.7741935483871,4,27,0,31,koeln,50.936389,6.952778
2018-06-01,19.316666666666666,400.03333333333336,6,24,0,30,koeln,50.936389,6.952778
2018-07-01,23.103225806451615,576.3870967741935,1,30,0,31,koeln,50.936389,6.952778
2018-08-01,21.383870967741935,477.4516129032258,5,26,0,31,koeln,50.936389,6.952778
2018-09-01,16.37333333333333,381.26666666666665,5,25,0,30,koeln,50.936389,6.952778
2018-10-01,12.887096774193548,281.38709677419354,3,28,0,31,koeln,50.936389,6.952778
2018-11-01,7.886666666666667,148.46666666666667,4,26,0,30,koeln,50.936389,6.952778
2018-12-01,6.245161290322581,65.48387096774194,12,19,1,30,koeln,50.936389,6.952778
2019-01-01,3.0258064516129033,73.90322580645162,13,18,1,30,koeln,50.936389,6.952778
2019-02-01,6.889285714285714,272.89285714285717,3,25,3,25,koeln,50.936389,6.952778
2019-03-01,8.703225806451613,190.67741935483872,10,21,0,31,koeln,50.936389,6.952778
2019-04-01,12.073333333333332,393.93333333333334,3,27,0,30,koeln,50.936389,6.952778
2019-05-01,12.529032258064516,320.19354838709677,9,22,0,31,koeln,50.936389,6.952778
2019-06-01,21.263333333333332,619.4,4,26,0,30,koeln,50.936389,6.952778
2019-07-01,20.74516129032258,423.38709677419354,2,29,0,31,koeln,50.936389,6.952778
2019-08-01,20.712903225806453,443.06451612903226,4,27,0,31,koeln,50.936389,6.952778
2019-09-01,16.01,285.43333333333334,4,26,0,30,koeln,50.936389,6.952778
2019-10-01,12.625806451612902,147.70967741935485,10,21,0,31,koeln,50.936389,6.952778
2019-11-01,6.8533333333333335,88.63333333333334,10,20,0,30,koeln,50.936389,6.952778
2019-12-01,6.229032258064516,97.90322580645162,9,22,0,31,koeln,50.936389,6.952778
2020-01-01,5.919354838709677,86.48387096774194,5,26,0,31,koeln,50.936389,6.952778
2020-02-01,7.393103448275863,102.65517241379311,16,13,0,29,koeln,50.936389,6.952778
2020-03-01,8.148387096774194,349.1290322580645,8,23,0,31,koeln,50.936389,6.952778
2020-04-01,13.286666666666667,579.2,3,27,0,30,koeln,50.936389,6.952778
2020-05-01,14.619354838709677,565.5806451612904,2,29,0,31,koeln,50.936389,6.952778
2020-06-01,19.09,392.06666666666666,7,23,0,30,koeln,50.936389,6.952778
2020-07-01,19.216129032258067,412.6774193548387,6,25,0,31,koeln,50.936389,6.952778
2020-08-01,22.13225806451613,371.35483870967744,5,26,0,31,koeln,50.936389,6.952778
2020-09-01,16.826666666666668,413.5,4,26,0,30,koeln,50.936389,6.952778
2020-10-01,12.312903225806451,79.35483870967742,11,20,0,31,koeln,50.936389,6.952778
2020-11-01,9.036666666666667,208.83333333333334,4,26,0,30,koeln,50.936389,6.952778
2020-12-01,6.051612903225807,65.61290322580645,11,20,0,31,koeln,50.936389,6.952778
2021-01-01,3.4064516129032256,28.612903225806452,11,20,5,26,koeln,50.936389,6.952778
2021-02-01,5.528571428571429,252.14285714285714,4,24,0,28,koeln,50.936389,6.952778
2021-03-01,7.551612903225807,302.0,8,23,0,31,koeln,50.936389,6.952778
2021-04-01,7.9366666666666665,358.23333333333335,6,24,0,30,koeln,50.936389,6.952778
2021-05-01,12.54516129032258,297.5806451612903,9,22,0,31,koeln,50.936389,6.952778
2021-06-01,20.676666666666666,472.56666666666666,6,24,0,30,koeln,50.936389,6.952778
2021-07-01,19.274193548387096,300.9032258064516,10,21,0,31,koeln,50.936389,6.952778
2021-08-01,17.838709677419356,260.5483870967742,12,19,0,31,koeln,50.936389,6.952778
2021-09-01,17.176666666666666,376.6,3,27,0,30,koeln,50.936389,6.952778
2021-10-01,11.80967741935484,221.32258064516128,9,22,0,31,koeln,50.936389,6.952778
2021-11-01,6.696666666666667,103.8,6,24,0,30,koeln,50.936389,6.952778
2021-12-01,5.922580645161291,61.32258064516129,10,21,0,31,koeln,50.936389,6.952778
2017-01-01,-0.2516129032258065,185.80645161290323,4,27,4,27,frankfurt am main,50.116667,8.683333
2017-02-01,5.757142857142857,188.78571428571428,3,25,0,28,frankfurt am main,50.116667,8.683333
2017-03-01,9.948387096774193,315.0967741935484,8,23,0,31,frankfurt am main,50.116667,8.683333
2017-04-01,10.270000000000001,375.4,2,28,0,30,frankfurt am main,50.116667,8.683333
2017-05-01,16.36774193548387,430.35483870967744,8,23,0,31,frankfurt am main,50.116667,8.683333
2017-06-01,20.563333333333333,538.1666666666666,4,26,0,30,frankfurt am main,50.116667,8.683333
2017-07-01,20.64516129032258,402.19354838709677,10,21,0,31,frankfurt am main,50.116667,8.683333
2017-08-01,19.86774193548387,399.7741935483871,7,24,0,31,frankfurt am main,50.116667,8.683333
2017-09-01,14.733333333333333,251.8,6,24,0,30,frankfurt am main,50.116667,8.683333
2017-10-01,12.564516129032258,194.90322580645162,3,28,0,31,frankfurt am main,50.116667,8.683333
2017-11-01,6.583333333333333,94.46666666666667,11,19,0,30,frankfurt am main,50.116667,8.683333
2017-12-01,4.309677419354839,35.67741935483871,10,21,0,31,frankfurt am main,50.116667,8.683333
2018-01-01,6.287096774193548,63.354838709677416,12,19,0,31,frankfurt am main,50.116667,8.683333
