,name,address,postcode,latitude,longitude
36,Autohaus Thomas Kapinsky,"Blankenburger Straße 95, 13089 Berlin",13089,52.57327,13.44399
37,Autohaus Thomas Kapinsky,"Blankenburger Straße 95, 13089 Berlin",13089,52.57327,13.44399
38,Autohaus Thomas Kapinsky,"Blankenburger Straße 95, 13089 Berlin",13089,52.57327,13.44399
39,Autohaus Grzenkowski Inhaber Dirk Grzenkowski,"Hauptstraße 16, 13127 Berlin",13127,52.60604,13.43275
40,Autohaus Thomas Kapinsky,"Blankenburger Straße 95, 13089 Berlin",13089,52.57327,13.44399
41,Autohaus Kirsten Inhaber Kay Pechlitza,"Hauptstraße 73, 13127 Berlin",13127,52.60275,13.43186
42,Autohaus Schulze E.K.Inhaber,"Dorfstraße 14, 13059 Berlin",13059,52.5722,13.52096
43,Autohaus Auto-Centrale Mathias Krtschil,"Neukirchstraße, 13089 Berlin",13089,52.57407,13.43045
44,Autohaus Schubbel Und Kfz Meisterwerkstatt,"Roedernallee 56, 13437 Berlin",13437,52.58775,13.34053
45,Autohaus Wegener Berlin C/O Filiale Wittenau,"Oranienburger Straße 180, 13437 Berlin",13437,52.59893,13.33198
46,Autohaus in Karow Inh.: Alexander Dux,"Blankenburger Chaussee 67, 13125 Berlin",13125,52.60416,13.47509
47,Autohaus in Karow Inh.: Alexander Dux,"Blankenburger Chaussee 67, 13125 Berlin",13125,52.60416,13.47509
48,Autohaus in Karow Inh.: Alexander Dux,"Blankenburger Chaussee 67, 13125 Berlin",13125,52.60416,13.47509
2,Autohaus am Nordring,"Nordring 6, 12681 Berlin",12681,52.56259,13.54977
0,Autohaus Berolina,"Charlottenburger Chaussee 3, 13597 Berlin",13597,52.52484,13.24438
1,Autohaus Berolina,"Cicerostraße 34, 10709 Berlin",10709,52.49063,13.30122
2,Autohaus Köhrich,"Bismarckstraße 53-54, 10627 Berlin",10627,52.51149,13.30321
3,Autohaus Berolina,"Brunsbütteler Damm 50, 13581 Berlin",13581,52.53458,13.18933
4,Autohaus Berolina,"Cicerostraße 34, 10709 Berlin",10709,52.49063,13.30122
5,Autohaus Günther - Berlin,"Salzufer 8, 10587 Berlin",10587,52.51658,13.32717
6,Autohaus Arnhölter,"Brunsbütteler Damm 82, 13581 Berlin",13581,52.53439,13.18587
7,Autohaus Dinnebier,"Karlsruher Straße 25-27, 10711 Berlin",10711,52.49943,13.29417
8,Autohaus Dinnebier,"Brunsbütteler Damm 192/194, 13581 Berlin",13581,52.53388,13.17
9,Autohaus Forstreuter,"Altonaer Straße 66-68, 13581 Berlin",13581,52.53254,13.1871
10,Autohaus Berolina,"Charlottenburger Chaussee 3, 13597 Berlin",13597,52.52483,13.24442
11,Autohaus Berolina,"Am Juliusturm 40-42, 13599 Berlin",13599,52.53729,13.2199
12,Autohaus Dinnebier,"Knobelsdorffstraße 63, 14059 Berlin",14059,52.51283,13.28725
13,Autohaus Günther - Berlin,"Salzufer 8, 10587 Berlin",10587,52.51658,13.32717
14,Autohaus Arnhölter,"Brunsbütteler Damm 82, 13581 Berlin",13581,52.53439,13.18587
15,Autohaus Dinnebier,"Karlsruher Straße 25-27, 10711 Berlin",10711,52.49943,13.29417
16,Autohaus Berolina,"Brunsbütteler Damm 50, 13581 Berlin",13581,52.53458,13.18933
17,Autohaus Arnhoelter,"Brunsbütteler Damm 90, 13581 Berlin",13581,52.53442,13.18476
18,Autohaus Berolina,"Cicerostraße 34, 10709 Berlin",10709,52.49063,13.30122
19,Autohaus Berolina,"Cicerostraße 34, 10709 Berlin",10709,52.49063,13.30122
20,Autohaus Wegener Berlin,"Am Juliusturm 54-60, 13599 Berlin",13599,52.53862,13.21514
21,Autohaus Dinnebier,"Brunsbütteler Damm 192/194, 13581 Berlin",13581,52.53388,13.17
22,Autohaus Meklenborg Vertr.,"Nonnendammallee 10, 13599 Berlin",13599,52.53866,13.23657
23,Autohaus C. Ehrl,"Heerstraße 350, 13593 Berlin",13593,52.51768,13.17534
24,Autohaus Meklenborg Vertriebs,"Nonnendammallee 10, 13599 Berlin",13599,52.53866,13.23657
25,Autohaus Rosen-Stock,"Kaiserin-Augusta-Allee 16, 10553 Berlin",10553,52.52597,13.32116
26,Autohaus Meklenborg Vertr.,"Nonnendammallee 10, 13599 Berlin",13599,52.53866,13.23657
27,Volvo Autohaus Krauthahn,"Nestorstraße, 10709 Berlin",10709,52.49124,13.29902
28,VW Audi Autohaus Pusch,"Falkensteiner Straße, 14199 Berlin",14199,52.48004,13.31117
29,Autohaus König Gewerbezentrum Berlin-Spandau,"Am Juliusturm 9, 13599 Berlin",13599,52.53779,13.23032
30,BMW Autohaus Nefzger,"Spandauer Damm 106, 14059 Berlin",14059,52.51869,13.28146
31,Autohaus Dinnebier Filiale Spandau,"Brunsbütteler Damm 192/194, 13581 Berlin",13581,52.53318,13.15834
32,Autohaus CC Car-Center,"Falkenseer Chaussee 79, 13589 Berlin",13589,52.551,13.16801
33,Autohaus Dinnebier Fil. Wilmersdorf,"Forckenbeckstraße 94, 14199 Berlin",14199,52.47924,13.30799
34,Autohaus Dinnebier Filiale Ku'Damm,"Karlsruher Straße 25, 10711 Berlin",10711,52.49942,13.29415
35,Autohaus König Jeep City Store,"Franklinstraße 28-29, 10587 Berlin",10587,52.51806,13.32504
36,Berliner Kaffeerösterei Im Bmw Autohaus,"Kaiserdamm 90, 14057 Berlin",14057,52.50972,13.28263
