,name,address,postcode,latitude,longitude
22,ALLROUND AutovermietungHerman Weisner,"Kolonie Morgenrot 53, 12109 Berlin",12109,52.45289,13.39971
23,Cosy-Wasch Autoservice Betriebe,"Körnerstraße 48A, 12157 Berlin",12157,52.46434,13.33468
24,Aral,"Mariendorfer Damm 195, 12107 Berlin",12107,52.43384,13.39071
25,Clean Car One,"Britzer Damm 12, 12347 Berlin",12347,52.4617,13.43402
26,Aral,"Britzer Damm 202-204, 12347 Berlin",12347,52.44519,13.43313
27,Aral,"Buschkrugallee 84-92, 12359 Berlin",12359,52.45582,13.44954
28,Berlin Johannisth.Ch.411.,"Johannisthaler Chaussee 411, 12351 Berlin",12351,52.42491,13.4422
30,Berlin Bergstr,"Bergstraße 31/32, 12169 Berlin",12169,52.45836,13.33886
31,Sprint,"Barnetstraße 67a, 12305 Berlin",12305,52.39469,13.40005
0,Berlin Lindenstr. 21,"Lindenstraße 21, 12555 Berlin",12555,52.4552,13.56729
1,Aral,"An der Wuhlheide 240-242, 12459 Berlin",12459,52.45525,13.55573
2,Fahrzeugpflege May,"Fürstenwalder Damm 375, 12587 Berlin",12587,52.45397,13.61088
3,Clean-Car Autowaschanlagen,"Adlergestell 305, 12489 Berlin",12489,52.4307,13.54873
4,Beverlycars Limousinen Service,"Schulzendorfer Straße 14, 12526 Berlin",12526,52.40278,13.5766
5,CleanCar,"Glienicker Weg 182, 12489 Berlin",12489,52.43102,13.55299
6,Shell,"Wendenschloßstraße 292, 12557 Berlin",12557,52.4294,13.5841
7,Aral,"Fürstenwalder Damm 445-447, 12587 Berlin",12587,52.4563,13.62115
8,Swizöl Berlin Ralf Thiele,"Hirseländerweg 166, 12559 Berlin",12559,52.42513,13.67639
2,Aral,"Holsteiner Chaussee 55, 22523 Hamburg",22523,53.61434,9.90589
3,Aral,"Schleswiger Damm 173, 22457 Hamburg",22457,53.64134,9.91696
8,Clean Park Sb Autowaschanlage,"Holsteiner Chaussee 85, 22523 Hamburg",22523,53.61646,9.90683
12,Aral,"Pinneberger Straße 1-3, 22457 Hamburg",22457,53.63252,9.91008
0,Angela Gitta Schäfer,"Neubergerweg 181, 22419 Hamburg",22419,53.66867,10.01597
1,Ccc Nanocentrum,"Sperberhorst 6, 22459 Hamburg",22459,53.63364,9.95558
2,Classic Tankstelle,"Langenhorner Chaussee 216, 22415 Hamburg",22415,53.6498,10.01006
3,Rus Vermietungs,"König-Heinrich-Weg 164, 22455 Hamburg",22455,53.63447,9.96479
5,CleanCar,"Steilshooper Allee 5, 22309 Hamburg",22309,53.60845,10.04565
8,Sb-Autowaschpark Niendorf,"Sperberhorst 12D, 22459 Hamburg",22459,53.63372,9.95784
9,Aral,"Langenhorner Chaussee 53, 22335 Hamburg",22335,53.63853,10.01354
12,Hamburg Paul-Sorge-Str.150.,"Paul-Sorge-Straße 150, 22455 Hamburg",22455,53.63509,9.95298
14,Car-Cleaner-Crew,"Sperberhorst 8, 22459 Hamburg",22459,53.63382,9.95566
18,AP Optik,"Bramfelder Chaussee 362, 22175 Hamburg",22175,53.62121,10.08283
19,Hamburg Bramfelder Chaussee.,"Bramfelder Chaussee 370, 22175 Hamburg",22175,53.62221,10.08397
20,Aral,"Meiendorfer Mühlenweg 6A, 22393 Hamburg",22393,53.64439,10.12213
21,Hamburg Saseler Chauss,"Saseler Chaussee 209, 22393 Hamburg",22393,53.65381,10.1065
22,Hamburg Harksheider Str.,"Harksheider Straße 35, 22399 Hamburg",22399,53.66276,10.07863
23,Hamburg Steilshooper Allee.,"Steilshooper Allee 55, 22309 Hamburg",22309,53.60883,10.05145
25,Hamburg Alsterkrugch,"Alsterkrugchaussee 431, 22335 Hamburg",22335,53.62108,10.00987
1,Hamburg Eulenkrugstr. 72.,"Eulenkrugstraße 72, 22359 Hamburg",22359,53.64765,10.17076
7,Star,"Höhenkamp 3, 22145 Braak",22145,53.60915,10.24158
11,Agha Deutschland,"Hofstückenstieg 7A, 22145 Hamburg",22145,53.62412,10.17075
12,Hamburg Claus-Ferck-Str.,"Claus-Ferck-Straße 31, 22359 Hamburg",22359,53.65173,10.16439
0,Hamburg Schnackenburg- Alle.,"Schnackenburgallee 12, 22525 Hamburg",22525,53.57357,9.9191
1,Cwh Car-Wash Hamburg,"Osdorfer Landstraße 157, 22549 Hamburg",22549,53.57191,9.85553
2,Wash Park B&h,"Volksparkstraße 44-46, 22525 Hamburg",22525,53.59158,9.92193
3,Hanna Car Wash Vertriebs,"Kronprinzenstraße 54, 22587 Hamburg",22587,53.56549,9.83194
4,Aral,"Kieler Straße 560, 22525 Hamburg",22525,53.59983,9.91785
5,Aral,"Ostfrieslandstraße 80, 21129 Hamburg",21129,53.52658,9.88491
6,Shell Station,"Behringstraße, 22763 Hamburg",22763,53.55454,9.90902
7,CleanCar,"Kieler Straße 195, 22525 Hamburg",22525,53.57667,9.93596
8,Aral,"Kieler Straße 285, 22525 Hamburg",22525,53.58379,9.93289
9,Aral,"Sülldorfer Landstraße 91, 22589 Hamburg",22589,53.57785,9.80959
10,Hamburg Rissener Landstr,"Rissener Landstraße 1A, 22587 Hamburg",22587,53.56654,9.79624
11,Hamburg Osdorfer Landstr. 1.,"Osdorfer Landstraße 1, 22607 Hamburg",22607,53.56992,9.87676
12,Hamburg Volksparkstr.44-46.,"Volksparkstraße 44-46, 22525 Hamburg",22525,53.59167,9.92147
